metric,query_type,mean,ci_lower,ci_upper,std,n,anova_f_stat,anova_p_value
semantic_accuracy,keywords_real,0.100465,0.07182307606360783,0.12910692393639217,0.03425981718323335,8,3.3313074675530534,0.033668108685644925
semantic_accuracy,institutions_real,0.075511875,0.04593555241195642,0.1050881975880436,0.035377490948896945,8,3.3313074675530534,0.033668108685644925
semantic_accuracy,authors_real,0.056701875,0.0465544259792187,0.0668493240207813,0.01213779315594184,8,3.3313074675530534,0.033668108685644925
semantic_accuracy,citations_real,0.08020075000000002,0.06094567082245844,0.09945582917754159,0.0230318149694225,8,3.3313074675530534,0.033668108685644925
reasoning_quality,keywords_real,0.570833125,0.32361879780407277,0.8180474521959273,0.29570351745984524,8,5.288720074549919,0.005129932302478545
reasoning_quality,institutions_real,0.3,0.1459174153438375,0.45408258465616247,0.18430469940369318,8,5.288720074549919,0.005129932302478545
reasoning_quality,authors_real,0.41249987499999996,0.1553867133536166,0.6696130366463833,0.30754393220827003,8,5.288720074549919,0.005129932302478545
reasoning_quality,citations_real,0.7770833749999999,0.6032211377980609,0.950945612201939,0.20796397877581554,8,5.288720074549919,0.005129932302478545
domain_knowledge_score,keywords_real,0.791666875,0.6239276985396651,0.9594060514603349,0.20063992672976386,8,3.53872046214407,0.02729770435919542
domain_knowledge_score,institutions_real,0.7222223750000001,0.4933360821666513,0.9511086678333489,0.273780580020851,8,3.53872046214407,0.02729770435919542
domain_knowledge_score,authors_real,0.46759249999999997,0.07735197704976604,0.8578330229502339,0.46678320225469005,8,3.53872046214407,0.02729770435919542
domain_knowledge_score,citations_real,0.9444445,0.8130766173906371,1.0758123826093628,0.15713468312883694,8,3.53872046214407,0.02729770435919542
factual_correctness,keywords_real,0.52884625,0.42899631708565583,0.6286961829143441,0.11943472983869832,8,0.3572188720764584,0.7842956362853741
factual_correctness,institutions_real,0.67083325,0.38080427485703167,0.9608622251429684,0.346915929541088,8,0.3572188720764584,0.7842956362853741
factual_correctness,authors_real,0.5875,0.2963893998923017,0.8786106001076983,0.34820970692960296,8,0.3572188720764584,0.7842956362853741
factual_correctness,citations_real,0.6,0.41574996271491704,0.7842500372850829,0.2203892660077359,8,0.3572188720764584,0.7842956362853741
depth_score,keywords_real,0.525000125,0.3689499617096347,0.6810502882903654,0.18665820346477255,8,4.424906325897762,0.011457456091418438
depth_score,institutions_real,0.316666625,0.23614377061091596,0.397189479389084,0.09631679340286778,8,4.424906325897762,0.011457456091418438
depth_score,authors_real,0.3680555,0.20921138714433887,0.5268996128556611,0.19000016476383833,8,4.424906325897762,0.011457456091418438
depth_score,citations_real,0.608333125,0.41655950619995935,0.8001067438000407,0.22938854021284966,8,4.424906325897762,0.011457456091418438
biobank_specificity,keywords_real,0.71875,0.5116192938292944,0.9258807061707056,0.24775780224127872,8,2.2985730302295915,0.0991479399743146
biobank_specificity,institutions_real,0.437499875,0.36538607515939914,0.5096136748406008,0.08625836743418411,8,2.2985730302295915,0.0991479399743146
biobank_specificity,authors_real,0.624999875,0.4464063066970085,0.8035934433029914,0.2136233241087402,8,2.2985730302295915,0.0991479399743146
biobank_specificity,citations_real,0.5416665,0.2974717585717821,0.785861241428218,0.2920916631514351,8,2.2985730302295915,0.0991479399743146
